fixed_fee,method,avg_shortfall,shortfall_std,avg_reward,completion_rate
0.0,Almgren-Chriss,1.1699458838913628,9.479366639177101,-0.014740411739919166,1.0
0.0,TWAP,1.1800790948965882,9.550031477349622,-0.014888290948965878,1.0
0.0,DDPG,-0.44035027523162495,7.915219644833112,0.0013636271653676968,1.0
0.0,PPO,-0.7342776299397016,9.019700660598641,0.004411403259613548,1.0
0.01,Almgren-Chriss,1.039295759507081,10.25807430961086,-0.013433910496076342,1.0
0.01,TWAP,1.049215073223538,10.334713098849775,-0.013579650732235384,1.0
0.01,DDPG,-0.4302564152364627,7.915064800643468,0.001262725908898026,1.0
0.01,PPO,-0.729620616075604,9.06231240786205,0.004338125989892675,1.0
0.02,Almgren-Chriss,2.166613498659935,9.892386697657573,-0.02470708788760488,1.0
0.02,TWAP,2.1833342730407206,9.962567298113955,-0.02492084273040721,1.0
0.02,DDPG,0.12354735959594147,4.578608692670435,-0.0023899495366254205,1.0
0.02,PPO,-0.6587677340073076,8.594567200940304,0.003917147986400141,1.0
0.05,Almgren-Chriss,1.0213749645151116,9.022428101171991,-0.013254702546156648,1.0
0.05,TWAP,1.0219720242070502,9.080205176259145,-0.0133072202420705,1.0
0.05,DDPG,-0.3897585089350876,7.914124626943412,0.0008580827845942059,1.0
0.05,PPO,-0.6834047674899052,9.011394713414568,0.003908281612953536,1.0
