method,avg_shortfall_mean,avg_shortfall_std,shortfall_std_mean,shortfall_std_std,avg_reward_mean,avg_reward_std,completion_rate_mean
Almgren-Chriss,0.7693503587229754,0.0,8.996796609882447,0.0,-0.010734456488235287,0.0,1.0
DDPG,-1.6473387548827512,0.879898082008926,7.360861004170072,2.9201397574349834,0.014335590374606027,0.00708995223682271,1.0
PPO,-0.9564646622251481,0.08034660136623832,8.215370701276075,0.4583134972021876,0.006646925525159106,0.0004765801401205938,1.0
TWAP,0.7732116236784208,0.0,9.06885531378626,0.0,-0.010819616236784202,0.0,1.0
