episode,episode_reward,implementation_shortfall,critic_loss,actor_loss,exploration_noise
1,0.039209452763104856,-4.2223035579655175,,,0.03
2,0.021154809134199964,-2.4192573295093496,,,0.029860335195530725
3,-0.05146589023298598,4.8466796525909075,,,0.02972067039106145
4,-0.009948775335707816,0.6935793811527162,,,0.029581005586592178
5,0.05097656543761223,-5.398716391610449,,,0.029441340782122905
6,-0.08292416148050451,7.991874925004737,,,0.02930167597765363
7,0.0778833243055689,-8.091006660569448,,,0.029162011173184357
8,-0.027902636186587927,2.4919713342374337,0.0030911580711595766,-0.08802214129287261,0.029022346368715084
9,-0.02435585772363386,2.300749080888366,0.0016862181746417036,-0.12810450509123417,0.02888268156424581
10,0.1282602694208258,-12.944521143413724,0.0014082721702865278,-0.12485676807583565,0.028743016759776537
11,-0.06795251484572085,6.675949874701047,0.0009124142579930002,-0.13250502257530994,0.028603351955307263
12,0.011300227803756356,-1.2506470173518949,0.000752564238825649,-0.13561442972076732,0.02846368715083799
13,-0.058746202672512175,5.756312886027487,0.0008550723816993331,-0.1511643802751741,0.028324022346368716
14,0.011732841193385989,-1.2896661254210926,0.0004310247001920075,-0.14476472304434093,0.02818435754189944
15,-0.028367469543559204,2.7186425363898223,0.0005066814349116674,-0.132736578670843,0.02804469273743017
16,-0.06592709185453366,6.476175066931049,0.0004321760366759978,-0.13738425521153338,0.027905027932960895
17,0.03145901633567574,-3.264231820640859,0.00037205624148912335,-0.1398593725274416,0.027765363128491618
18,-0.03192100673919705,3.07554179086317,0.0002410545328941074,-0.15540199193958784,0.027625698324022344
19,0.052969816451197055,-5.414111107924015,0.00029256615548559507,-0.1094982531504991,0.02748603351955307
20,-0.021278990018593357,2.009003137204303,0.00022676383053210584,-0.1429093047804652,0.027346368715083797
21,-0.008120636681289518,0.6957021648940156,0.00030384077111762753,-0.13176475755255274,0.027206703910614524
22,-0.04950926529186612,4.8315128771936315,0.00035580028279242796,-0.11585173983022334,0.02706703910614525
23,-0.016670429527030226,1.5478789421447061,0.00037572694582273166,-0.1020078887197484,0.026927374301675976
24,0.01003924716903983,-1.124303845163709,0.0002497388012716667,-0.11137399359470775,0.026787709497206703
25,0.05353088729742999,-5.469432465875016,0.000208900889310653,-0.12066103846983033,0.02664804469273743
26,-0.08234976556038168,8.114824138668595,0.0003095288152424883,-0.11426748476518067,0.026508379888268156
27,-0.00761767173196007,0.6429644270215107,0.00028189925491998996,-0.12112804695819192,0.026368715083798882
28,0.02294464579773636,-2.410706279877047,0.00044251741343928044,-0.08972485970214214,0.02622905027932961
29,0.043551812863558005,-4.472693451463229,0.00035826797749155466,-0.08088661643176716,0.026089385474860335
30,-0.01651423076999674,1.535766962445635,0.000476339449532801,-0.07876566147548089,0.02594972067039106
31,0.013158122051872688,-1.4363363229526982,0.000254996580744195,-0.07308941644204031,0.025810055865921788
32,-0.016132898539016595,1.4982867326440896,0.0003905221987765768,-0.09800799024027348,0.025670391061452514
33,0.0357664296555345,-3.695571214883472,0.00036639279668559455,-0.09109160532158544,0.02553072625698324
34,-0.021565348814658467,2.0403054131926126,0.0003919469923360184,-0.0810842458788625,0.025391061452513967
35,0.011455680753080223,-1.2623193202911551,0.0003243957199686677,-0.08340088278771268,0.025251396648044693
36,-0.00039777930704988504,-0.07634484204575642,0.00038179222329045247,-0.0752193761796307,0.02511173184357542
37,0.04781884003277354,-4.90147342519586,0.000335010553477853,-0.06794890517148167,0.024972067039106143
38,-0.01620270964812204,1.5015324400632153,0.0002770529478597359,-0.055038628870267094,0.02483240223463687
39,-0.027931364895834664,2.6768345321512044,0.00040475592599493494,-0.05703815469620868,0.024692737430167595
40,-0.07622937930813184,7.505210886597581,0.00021761740964715897,-0.06330195829601834,0.02455307262569832
